;error_output;time_output;head_output_083;head_output_158;head_output_180;flow_output_F1;flow_output_K1;flow_output_P1;tank_output_180;energy_output_F1;energy_output_K1;energy_output_P1;tank_input_180;pump_input_F1;pump_input_K1;pump_input_P1;demand_input_par2;demand_input_kar2
30;4;21600;205,31480407714844;204,3338165283203;170,71527099609375;157,6189422607422;0,0;99,61461639404297;170,71527099609375;26,325035095214844;0,0;11,803647994995117;5,0;0,76;0,69;0,91;0,73;0,28
31;4;25200;189,73411560058594;187,8892822265625;171,0;0,0;-6,188830852508545;135,9098358154297;171,0;0,0;1,0535069704055786;10,125606536865234;5,0;0,63;0,55;0,93;0,63;0,33
32;4;28800;189,86634826660156;187,51292419433594;171,0;0,0;72,31822204589844;91,49727630615234;171,0;0,0;5,685537338256836;5,31477689743042;5,0;0,51;0,56;0,72;0,63;0,48
33;4;32400;217,12428283691406;214,3343963623047;170,818115234375;224,13430786132812;124,59163665771484;0,0;170,818115234375;40,030906677246094;24,644996643066406;0,0;5,0;0,87;0,88;0,68;0,95;0,19
34;4;36000;228,64285278320312;226,1371307373047;170,9142608642578;0,0;93,55767822265625;0,0;170,9142608642578;0,0;21,170854568481445;0,0;5,0;0,64;0,97;0,78;0,1;0,03
35;4;39600;190,0975341796875;187,88247680664062;170,678955078125;0,0;-1,2006055116653442;135,3656005859375;170,678955078125;0,0;0,2118743360042572;10,278584480285645;5,0;0,56;0,56;0,93;0,32;0,31
36;4;43200;212,7394256591797;210,82704162597656;170,68197631835938;0,0;231,98362731933594;0,0;170,68197631835938;0,0;46,90077209472656;0,0;5,0;0,68;0,94;0,55;0,52;0,96
37;4;46800;183,4404296875;181,5377655029297;170,09852600097656;0,0;113,91410064697266;105,77639770507812;170,09852600097656;0,0;6,328272819519043;3,7057290077209473;5,0;0,53;0,51;0,72;0,96;0,88
38;4;50400;219,35536193847656;217,36544799804688;169,81202697753906;212,3820343017578;149,28414916992188;0,0;169,81202697753906;36,45773696899414;35,027923583984375;0,0;5,0;0,84;0,92;0,52;0,55;0,44
39;4;54000;216,1399688720703;214,49737548828125;169,97071838378906;249,3112335205078;96,3786392211914;0,0;169,97071838378906;44,794456481933594;17,425207138061523;0,0;5,0;0,92;0,87;0,79;0,02;0,16
40;0;57600;202,80227661132812;201,30406188964844;170,35536193847656;243,9805450439453;155,54425048828125;2,123756170272827;170,35536193847656;44,00748062133789;24,04210090637207;0,5367125272750854;5,0;0,91;0,77;0,75;0,63;0,56
41;4;61200;193,27882385253906;191,9946746826172;170,57777404785156;0,0;162,28564453125;16,15286636352539;170,57777404785156;0,0;17,698843002319336;2,6931324005126953;5,0;0,57;0,68;0,61;0,05;0,72
42;4;64800;220,02464294433594;218,57257080078125;170,16961669921875;0,0;120,8886489868164;0,0;170,16961669921875;0,0;25,14710807800293;0,0;5,0;0,66;0,91;0,77;0,18;0,34
43;0;68400;192,6217498779297;190,83236694335938;169,86557006835938;177,94235229492188;111,29359436035156;22,630403518676758;169,86557006835938;29,5371036529541;10,298059463500977;3,284095525741577;5,0;0,78;0,63;0,6;0,78;0,37
44;4;72000;204,369140625;202,94461059570312;170,033203125;0,0;130,3742218017578;50,27328109741211;170,033203125;0,0;19,929447174072266;6,656459808349609;5,0;0,51;0,77;0,79;0,86;0,71
45;4;75600;219,96929931640625;217,91964721679688;169,70530700683594;271,0176696777344;215,38365173339844;0,0;169,70530700683594;49,63114547729492;51,70887756347656;0,0;5,0;0,97;0,98;0,86;0,5;0,84
46;4;79200;219,4658660888672;218,15896606445312;169,84523010253906;0,0;148,01914978027344;0,0;169,84523010253906;0,0;34,783233642578125;0,0;5,0;0,51;0,92;0,91;0,53;0,53
47;4;82800;183,69317626953125;183,36004638671875;169,4729461669922;0,0;111,92704010009766;76,40245819091797;169,4729461669922;0,0;6,566603183746338;2,635749578475952;5,0;0,54;0,52;0,58;0,1;0,96
